Certification / Course Name,Company / Provider,Cost Structure,Link
HackerRank C (Basic) Certificate,HackerRank,Completely Free,https://www.hackerrank.com/skills-verification
Free C Programming Course,Simplilearn,Completely Free,https://www.simplilearn.com/free-c-course-skillup
C Programming for Beginners,Great Learning,Completely Free,https://www.mygreatlearning.com/academy/learn-for-free/courses/c-programming-for-beginners
C Tutorial,Sololearn,Completely Free,https://www.sololearn.com/
Learn C,Codecademy,Free Basic / Paid Cert,https://www.codecademy.com/catalog/language/c
C Programming with Linux Specialization,Coursera (Dartmouth),Free to Audit / Paid Cert,https://www.coursera.org/specializations/c-programming
C Programming: Getting Started,edX (Dartmouth),Free to Audit / Paid Cert,https://www.edx.org/learn/c-programming
CLE – C Certified Entry-Level Programmer,C++ Institute (OpenEDG),Paid,https://cppinstitute.org/cle
CLA – C Programming Language Certified Associate,C++ Institute (OpenEDG),Paid,https://cppinstitute.org/cla
CLP – C Certified Professional Programmer,C++ Institute (OpenEDG),Paid,https://cppinstitute.org/clp
 
