Certification / Course Name,Company / Provider,Cost Structure,Link
HackerRank Python (Basic & Intermediate) Certificates,HackerRank,Completely Free,https://www.hackerrank.com/skills-verification
Python Tutorial for Beginners,Simplilearn,Completely Free,https://www.simplilearn.com/learn-python-basics-free-course-skillup
Python for Beginners,Great Learning,Completely Free,https://www.mygreatlearning.com/academy/learn-for-free/courses/python-for-beginners
Programming with Python: Introduction for Beginners,upGrad,Completely Free,https://www.upgrad.com/free-courses/data-science/programming-with-python-course-for-beginners-free/
Python Course for Beginners,Intellipaat,Completely Free,https://intellipaat.com/academy/course/python-course-for-beginners/
Python for Everybody Specialization,Coursera (University of Michigan),Free to Audit / Paid Cert,https://www.coursera.org/specializations/python
Google IT Automation with Python Professional Certificate,Coursera (Google),Free to Audit / Paid Cert,https://www.coursera.org/professional-certificates/google-it-automation
PCEP™ – Certified Entry-Level Python Programmer,Python Institute,Paid,https://pythoninstitute.org/pcep
PCAP™ – Certified Associate in Python Programming,Python Institute,Paid,https://pythoninstitute.org/pcap
PCPP1™ – Certified Professional in Python Programming,Python Institute,Paid,https://pythoninstitute.org/pcpp1
 
